Start_Time,End_Time,Activity
2010-11-04 00:03:50,2010-11-04 05:40:43,Sleeping
2010-11-04 05:40:51,2010-11-04 05:43:30,Bathroom_Usage
2010-11-04 05:43:45,2010-11-04 08:01:12,Sleeping
2010-11-04 08:01:12,2010-11-04 08:11:09,Idle
2010-11-04 08:11:09,2010-11-04 08:27:02,Meal_Preparation
2010-11-04 08:27:02,2010-11-04 08:33:52,Idle
2010-11-04 08:33:52,2010-11-04 08:35:45,Meal_Preparation
2010-11-04 08:35:45,2010-11-04 09:29:23,Idle
2010-11-04 09:29:23,2010-11-04 09:34:05,Relax
2010-11-04 09:34:16,2010-11-04 09:44:40,Movement
2010-11-04 09:44:40,2010-11-04 09:48:52,Idle
2010-11-04 09:48:52,2010-11-04 09:53:02,Meal_Preparation
2010-11-04 09:53:02,2010-11-04 09:54:58,Idle
2010-11-04 09:54:58,2010-11-04 10:02:48,Meal_Preparation
2010-11-04 10:03:21,2010-11-04 10:04:25,Kitchen_Usage
2010-11-04 10:04:25,2010-11-04 11:29:08,Idle
2010-11-04 11:29:08,2010-11-04 11:33:48,Movement
2010-11-04 11:33:48,2010-11-04 11:41:34,Idle
2010-11-04 11:41:34,2010-11-04 11:47:52,Outside
2010-11-04 11:47:52,2010-11-04 14:46:25,Idle
2010-11-04 14:46:25,2010-11-04 15:13:24,Relax
2010-11-04 15:13:24,2010-11-04 15:23:00,Idle
2010-11-04 15:23:00,2010-11-04 15:28:42,Meal_Preparation
2010-11-04 15:28:42,2010-11-04 15:47:48,Idle
2010-11-04 15:47:48,2010-11-04 16:10:33,Relax
2010-11-04 16:10:33,2010-11-04 16:15:57,Idle
2010-11-04 16:15:57,2010-11-04 16:21:58,Relax
2010-11-04 16:21:59,2010-11-04 16:31:26,Meal_Preparation
2010-11-04 16:31:26,2010-11-04 16:32:53,Idle
2010-11-04 16:32:53,2010-11-04 16:34:13,Meal_Preparation
2010-11-04 16:34:13,2010-11-04 16:36:10,Idle
2010-11-04 16:36:10,2010-11-04 17:06:00,Meal_Preparation
2010-11-04 17:06:21,2010-11-04 17:27:12,Relax
2010-11-04 17:27:13,2010-11-04 17:27:55,Meal_Preparation
2010-11-04 17:28:26,2010-11-04 17:33:54,Relax
2010-11-04 17:33:54,2010-11-04 17:35:16,Idle
2010-11-04 17:35:16,2010-11-04 17:37:11,Meal_Preparation
2010-11-04 17:37:24,2010-11-04 17:55:20,Kitchen_Usage
2010-11-04 17:55:24,2010-11-04 17:57:47,Relax
2010-11-04 17:57:47,2010-11-05 00:00:11,Idle
2010-11-05 00:00:11,2010-11-05 04:18:05,Sleeping
2010-11-05 04:18:09,2010-11-05 04:20:50,Bathroom_Usage
2010-11-05 04:21:04,2010-11-05 07:48:11,Sleeping
2010-11-05 07:48:11,2010-11-05 07:54:57,Idle
2010-11-05 07:54:57,2010-11-05 07:58:23,Meal_Preparation
2010-11-05 07:58:49,2010-11-05 08:00:59,Relax
2010-11-05 08:00:59,2010-11-05 08:22:17,Idle
2010-11-05 08:22:17,2010-11-05 08:57:18,Relax
2010-11-05 08:57:18,2010-11-05 09:04:06,Idle
2010-11-05 09:04:06,2010-11-05 09:05:14,Relax
2010-11-05 09:05:14,2010-11-05 09:26:22,Idle
2010-11-05 09:26:22,2010-11-05 09:30:15,Relax
2010-11-05 09:30:15,2010-11-05 09:35:08,Idle
2010-11-05 09:35:08,2010-11-05 09:37:03,Relax
2010-11-05 09:37:03,2010-11-05 09:42:01,Idle
2010-11-05 09:42:01,2010-11-05 11:12:02,Movement
2010-11-05 11:12:02,2010-11-05 11:14:14,Idle
2010-11-05 11:14:14,2010-11-05 12:48:16,Outside
2010-11-05 12:48:16,2010-11-05 12:59:38,Idle
2010-11-05 12:59:38,2010-11-05 13:01:23,Outside
2010-11-05 13:01:23,2010-11-05 13:25:15,Idle
2010-11-05 13:25:15,2010-11-05 13:25:35,Outside
2010-11-05 13:25:35,2010-11-05 13:27:35,Idle
2010-11-05 13:27:35,2010-11-05 13:30:09,Relax
2010-11-05 13:30:09,2010-11-05 13:38:02,Idle
2010-11-05 13:38:02,2010-11-05 13:45:53,Relax
2010-11-05 13:45:53,2010-11-05 13:49:02,Idle
2010-11-05 13:49:02,2010-11-05 15:51:04,Outside
2010-11-05 15:51:04,2010-11-05 16:00:09,Idle
2010-11-05 16:00:09,2010-11-05 16:19:10,Outside
2010-11-05 16:19:38,2010-11-05 16:20:04,Meal_Preparation
2010-11-05 16:20:04,2010-11-05 16:21:25,Idle
2010-11-05 16:21:25,2010-11-05 16:29:13,Meal_Preparation
2010-11-05 16:29:30,2010-11-05 16:30:21,Kitchen_Usage
2010-11-05 16:30:40,2010-11-05 16:31:00,Outside
2010-11-05 16:31:00,2010-11-05 22:20:33,Idle
2010-11-05 22:20:33,2010-11-05 22:38:23,Relax
2010-11-05 22:38:23,2010-11-05 22:48:22,Idle
2010-11-05 22:48:22,2010-11-06 04:23:40,Sleeping
2010-11-06 04:23:50,2010-11-06 04:27:00,Bathroom_Usage
2010-11-06 04:27:34,2010-11-06 08:57:49,Sleeping
2010-11-06 08:57:49,2010-11-06 09:09:44,Idle
2010-11-06 09:09:44,2010-11-06 09:19:14,Meal_Preparation
2010-11-06 09:19:14,2010-11-06 09:21:10,Idle
2010-11-06 09:21:10,2010-11-06 09:37:40,Meal_Preparation
2010-11-06 09:38:24,2010-11-06 09:41:18,Kitchen_Usage
2010-11-06 09:41:18,2010-11-06 10:28:15,Idle
2010-11-06 10:28:15,2010-11-06 10:30:39,Relax
2010-11-06 10:30:39,2010-11-06 10:36:44,Idle
2010-11-06 10:36:44,2010-11-06 11:11:04,Movement
2010-11-06 11:11:08,2010-11-06 11:25:23,Relax
2010-11-06 11:25:43,2010-11-06 11:48:21,Movement
2010-11-06 11:48:21,2010-11-06 11:55:15,Idle
2010-11-06 11:55:15,2010-11-06 11:56:11,Meal_Preparation
2010-11-06 11:56:11,2010-11-06 11:58:12,Idle
2010-11-06 11:58:12,2010-11-06 12:09:53,Meal_Preparation
2010-11-06 12:09:59,2010-11-06 12:11:57,Kitchen_Usage
2010-11-06 12:11:57,2010-11-06 12:35:50,Idle
2010-11-06 12:35:50,2010-11-06 12:49:00,Meal_Preparation
2010-11-06 12:49:00,2010-11-06 13:01:51,Idle
2010-11-06 13:01:51,2010-11-06 16:59:22,Outside
2010-11-06 16:59:22,2010-11-06 17:05:28,Idle
2010-11-06 17:05:28,2010-11-06 17:06:04,Outside
2010-11-06 17:06:04,2010-11-06 17:07:53,Idle
2010-11-06 17:07:53,2010-11-06 17:34:46,Outside
2010-11-06 17:34:46,2010-11-06 18:29:36,Idle
2010-11-06 18:29:36,2010-11-06 18:41:18,Relax
2010-11-06 18:41:18,2010-11-06 19:59:48,Idle
2010-11-06 19:59:48,2010-11-06 20:41:11,Relax
2010-11-06 20:41:11,2010-11-06 20:46:41,Idle
2010-11-06 20:46:41,2010-11-06 20:54:02,Relax
2010-11-06 20:54:02,2010-11-06 21:01:03,Idle
2010-11-06 21:01:03,2010-11-06 22:36:08,Relax
2010-11-06 22:36:08,2010-11-06 22:46:34,Idle
2010-11-06 22:46:34,2010-11-06 23:26:55,Relax
2010-11-06 23:26:55,2010-11-06 23:28:33,Idle
2010-11-06 23:28:33,2010-11-06 23:52:55,Relax
2010-11-06 23:52:55,2010-11-07 00:02:39,Idle
2010-11-07 00:02:39,2010-11-07 00:34:46,Sleeping
2010-11-07 00:34:48,2010-11-07 00:35:36,Bathroom_Usage
2010-11-07 00:36:18,2010-11-07 03:43:08,Sleeping
2010-11-07 03:43:19,2010-11-07 03:46:23,Bathroom_Usage
2010-11-07 03:46:41,2010-11-07 03:47:14,Sleeping
2010-11-07 03:47:14,2010-11-07 03:49:20,Idle
2010-11-07 03:49:20,2010-11-07 03:51:17,Bathroom_Usage
2010-11-07 03:51:21,2010-11-07 07:34:57,Sleeping
2010-11-07 07:35:43,2010-11-07 07:37:13,Meal_Preparation
2010-11-07 07:37:13,2010-11-07 07:50:09,Idle
2010-11-07 07:50:09,2010-11-07 07:57:21,Meal_Preparation
2010-11-07 07:57:21,2010-11-07 08:00:38,Idle
2010-11-07 08:00:38,2010-11-07 08:13:27,Meal_Preparation
2010-11-07 08:13:27,2010-11-07 08:14:48,Idle
2010-11-07 08:14:48,2010-11-07 08:30:55,Relax
2010-11-07 08:30:55,2010-11-07 08:33:29,Idle
2010-11-07 08:33:29,2010-11-07 08:36:46,Relax
2010-11-07 08:36:46,2010-11-07 08:44:12,Idle
2010-11-07 08:44:12,2010-11-07 08:45:56,Relax
2010-11-07 08:45:56,2010-11-07 10:31:45,Idle
2010-11-07 10:31:45,2010-11-07 11:55:25,Relax
2010-11-07 11:55:25,2010-11-07 12:03:08,Idle
2010-11-07 12:03:08,2010-11-07 12:06:32,Meal_Preparation
2010-11-07 12:06:32,2010-11-07 12:08:27,Idle
2010-11-07 12:08:27,2010-11-07 12:30:34,Meal_Preparation
2010-11-07 12:30:42,2010-11-07 12:38:26,Relax
2010-11-07 12:38:28,2010-11-07 12:54:59,Meal_Preparation
2010-11-07 12:54:59,2010-11-07 13:46:10,Idle
2010-11-07 13:46:10,2010-11-07 14:12:53,Relax
2010-11-07 14:12:53,2010-11-07 14:28:07,Idle
2010-11-07 14:28:07,2010-11-07 14:33:38,Movement
2010-11-07 14:33:38,2010-11-07 14:37:13,Idle
2010-11-07 14:37:13,2010-11-07 14:38:27,Relax
2010-11-07 14:38:50,2010-11-07 14:42:49,Meal_Preparation
2010-11-07 14:43:42,2010-11-07 15:08:54,Relax
2010-11-07 15:08:54,2010-11-07 15:10:28,Idle
2010-11-07 15:10:28,2010-11-07 15:13:19,Meal_Preparation
2010-11-07 15:13:19,2010-11-07 15:40:57,Idle
2010-11-07 15:40:57,2010-11-07 15:55:52,Meal_Preparation
2010-11-07 15:55:52,2010-11-07 16:01:50,Idle
2010-11-07 16:01:50,2010-11-07 16:11:51,Relax
2010-11-07 16:11:51,2010-11-07 16:14:12,Idle
2010-11-07 16:14:12,2010-11-07 16:21:40,Relax
2010-11-07 16:21:40,2010-11-07 16:24:47,Idle
2010-11-07 16:24:47,2010-11-07 16:45:49,Relax
2010-11-07 16:45:49,2010-11-07 16:48:51,Idle
2010-11-07 16:48:51,2010-11-07 17:07:54,Relax
2010-11-07 17:07:54,2010-11-07 17:12:21,Meal_Preparation
2010-11-07 17:12:21,2010-11-07 17:19:51,Idle
2010-11-07 17:19:51,2010-11-07 17:27:09,Meal_Preparation
2010-11-07 17:27:09,2010-11-07 17:29:12,Idle
2010-11-07 17:29:12,2010-11-07 17:40:44,Meal_Preparation
