Start_Time,End_Time,Activity
2011-11-28 02:27:59,2011-11-28 10:18:11,Sleeping
2011-11-28 10:18:11,2011-11-28 10:21:24,Idle
2011-11-28 10:21:24,2011-11-28 10:23:36,Toileting
2011-11-28 10:23:36,2011-11-28 10:25:44,Idle
2011-11-28 10:25:44,2011-11-28 10:33:00,Showering
2011-11-28 10:33:00,2011-11-28 10:34:23,Idle
2011-11-28 10:34:23,2011-11-28 10:43:00,Meal_Preparation
2011-11-28 10:43:00,2011-11-28 10:49:48,Idle
2011-11-28 10:49:48,2011-11-28 10:51:13,Grooming
2011-11-28 10:51:13,2011-11-28 10:51:41,Idle
2011-11-28 10:51:41,2011-11-28 13:05:07,Relax
2011-11-28 13:05:07,2011-11-28 13:06:04,Idle
2011-11-28 13:06:04,2011-11-28 13:06:31,Toileting
2011-11-28 13:06:31,2011-11-28 13:09:31,Idle
2011-11-28 13:09:31,2011-11-28 13:29:09,Outside
2011-11-28 13:29:09,2011-11-28 13:38:40,Idle
2011-11-28 13:38:40,2011-11-28 14:21:40,Relax
2011-11-28 14:21:40,2011-11-28 14:22:38,Idle
2011-11-28 14:22:38,2011-11-28 14:27:07,Toileting
2011-11-28 14:27:07,2011-11-28 14:27:11,Idle
2011-11-28 14:27:11,2011-11-28 15:04:00,Meal_Preparation
2011-11-28 15:04:00,2011-11-28 15:04:59,Idle
2011-11-28 15:04:59,2011-11-28 15:06:29,Grooming
2011-11-28 15:06:29,2011-11-28 15:07:01,Idle
2011-11-28 15:07:01,2011-11-28 20:20:00,Relax
2011-11-28 20:20:00,2011-11-28 20:20:55,Idle
2011-11-28 20:20:55,2011-11-28 20:20:59,Meal_Preparation
2011-11-28 20:20:59,2011-11-28 20:21:15,Idle
2011-11-28 20:21:15,2011-11-29 02:06:00,Relax
2011-11-29 02:06:00,2011-11-29 02:16:00,Idle
2011-11-29 02:16:00,2011-11-29 11:31:00,Sleeping
2011-11-29 11:31:00,2011-11-29 11:31:55,Idle
2011-11-29 11:31:55,2011-11-29 11:36:55,Toileting
2011-11-29 11:36:55,2011-11-29 11:37:38,Idle
2011-11-29 11:37:38,2011-11-29 11:48:54,Grooming
2011-11-29 11:48:54,2011-11-29 11:49:57,Idle
2011-11-29 11:49:57,2011-11-29 11:51:13,Showering
2011-11-29 11:51:13,2011-11-29 12:08:28,Idle
2011-11-29 12:08:28,2011-11-29 12:18:00,Meal_Preparation
2011-11-29 12:18:00,2011-11-29 12:19:01,Idle
2011-11-29 12:19:01,2011-11-29 12:22:00,Grooming
2011-11-29 12:22:00,2011-11-29 12:22:38,Idle
2011-11-29 12:22:38,2011-11-29 12:24:59,Relax
2011-11-29 12:24:59,2011-11-29 13:25:29,Idle
2011-11-29 13:25:29,2011-11-29 13:25:32,Meal_Preparation
2011-11-29 13:25:32,2011-11-29 13:25:38,Idle
2011-11-29 13:25:38,2011-11-29 15:12:26,Relax
2011-11-29 15:12:26,2011-11-29 15:13:28,Idle
2011-11-29 15:13:28,2011-11-29 15:13:57,Toileting
2011-11-29 15:13:57,2011-11-29 15:14:33,Idle
2011-11-29 15:14:33,2011-11-29 15:45:54,Meal_Preparation
