Start_Time,End_Time,Sensor
2011-11-28 02:27:59,2011-11-28 10:18:11,motion_bedroom
2011-11-28 10:21:24,2011-11-28 10:21:31,contact_bathroom
2011-11-28 10:21:44,2011-11-28 10:23:31,contact_bathroom
2011-11-28 10:25:44,2011-11-28 10:32:06,contact_bathroom
2011-11-28 10:41:43,2011-11-28 10:41:59,motion_kitchen
2011-11-28 10:49:48,2011-11-28 10:51:13,contact_bathroom
2011-11-28 10:51:41,2011-11-28 13:05:07,motion_living
2011-11-28 13:06:04,2011-11-28 13:06:06,contact_bathroom
2011-11-28 13:09:31,2011-11-28 13:09:35,contact_entrance
2011-11-28 13:28:59,2011-11-28 13:29:09,contact_entrance
2011-11-28 13:33:32,2011-11-28 13:38:23,contact_fridge
2011-11-28 13:38:40,2011-11-28 14:21:40,motion_living
2011-11-28 14:27:11,2011-11-28 14:28:46,contact_fridge
2011-11-28 14:28:48,2011-11-28 14:28:55,contact_fridge
2011-11-28 14:31:06,2011-11-28 14:41:54,motion_kitchen
2011-11-28 14:31:44,2011-11-28 14:31:56,contact_fridge
2011-11-28 14:35:22,2011-11-28 14:35:27,contact_fridge
2011-11-28 15:04:59,2011-11-28 15:06:29,contact_bathroom
2011-11-28 15:07:01,2011-11-28 16:09:57,motion_living
2011-11-28 16:10:05,2011-11-28 16:10:05,contact_bathroom
2011-11-28 16:10:38,2011-11-28 20:19:27,motion_living
2011-11-28 20:21:15,2011-11-29 02:06:51,motion_living
2011-11-29 02:16:05,2011-11-29 11:31:04,motion_bedroom
2011-11-29 11:37:38,2011-11-29 11:48:29,contact_bathroom
2011-11-29 11:38:16,2011-11-29 11:38:37,contact_bathroom
2011-11-29 11:48:52,2011-11-29 11:48:54,contact_bathroom
2011-11-29 11:49:57,2011-11-29 11:51:13,contact_bathroom
2011-11-29 12:08:28,2011-11-29 12:09:21,contact_fridge
2011-11-29 12:09:09,2011-11-29 12:13:02,power_microwave
2011-11-29 12:09:24,2011-11-29 12:09:37,contact_fridge
2011-11-29 12:09:42,2011-11-29 12:10:37,power_microwave
2011-11-29 12:19:16,2011-11-29 12:19:19,contact_bathroom
2011-11-29 12:19:24,2011-11-29 12:21:11,contact_bathroom
2011-11-29 12:22:38,2011-11-29 13:25:15,motion_living
2011-11-29 13:25:29,2011-11-29 13:25:32,contact_fridge
2011-11-29 13:25:38,2011-11-29 15:12:26,motion_living
2011-11-29 15:13:32,2011-11-29 15:13:34,contact_bathroom
2011-11-29 15:15:14,2011-11-29 15:36:26,motion_kitchen
2011-11-29 15:49:51,2011-11-29 15:50:54,contact_bathroom
2011-11-29 15:52:04,2011-11-29 16:17:58,motion_living
2011-11-29 16:32:20,2011-11-29 16:32:23,contact_fridge
2011-11-29 16:34:17,2011-11-29 17:08:07,motion_living
